Nome;Squadra;Ruolo;Media_Voto;Fantamedia;Quotazione;Partite_Voto
Viti;Empoli;Difensore;6.1;6.08;10.0;20
Vitinha O.;Genoa;Attaccante;5.81;5.92;5.0;13
Vlahovic;Juventus;Attaccante;6.15;7.53;27.0;17
Vlahovic V.;Atalanta;Attaccante;6.0;6.0;1.0;1
Vlasic;Torino;Centrocampista;6.0;6.47;14.0;17
Vogliacco;Parma;Difensore;5.68;5.96;6.0;14
Vojvoda;Como;Difensore;5.82;5.71;4.0;17
Vos;Milan;Centrocampista;0.0;0.0;1.0;0
Walker;Milan;Difensore;6.0;6.0;10.0;1
Walukiewicz;Torino;Difensore;5.81;5.69;5.0;16
Weah;Juventus;Centrocampista;6.37;7.4;18.0;15
Wieteska;Cagliari;Difensore;5.6;5.5;;5
Yeboah J.;Venezia;Centrocampista;5.83;5.77;5.0;15
Yildiz;Juventus;Attaccante;6.35;6.94;23.0;24
Zaccagni;Lazio;Centrocampista;6.35;7.48;27.0;20
Zalewski;Inter;Centrocampista;5.85;6.05;5.0;10
Zambo Anguissa;Napoli;Centrocampista;6.52;7.24;24.0;23
Zampano;Venezia;Difensore;5.78;5.9;6.0;20
Zaniolo;Fiorentina;Centrocampista;6.17;6.58;12.0;12
Zanoli;Genoa;Difensore;5.94;5.88;6.0;17
Zapata D.;Torino;Attaccante;6.57;7.79;19.0;7
Zappa;Cagliari;Difensore;5.67;5.87;7.0;23
Zappacosta;Atalanta;Difensore;6.03;6.47;15.0;17
Zarraga;Udinese;Centrocampista;5.82;5.82;3.0;11
Zemura;Udinese;Difensore;5.82;6.06;9.0;17
Zerbin;Venezia;Centrocampista;5.83;6.83;6.0;3
Zeroli;Monza;Centrocampista;0.0;0.0;1.0;0
Zielinski;Inter;Centrocampista;6.0;6.47;15.0;15
Zortea;Cagliari;Difensore;6.0;6.7;17.0;20
Zurkowski;Empoli;Centrocampista;5.5;5.5;2.0;1
